id,food_name,classification,rewritten_name,cached_at
3988,"Babyfood, vegetables, peas, strained",vegan,,2026-05-26T01:53:42.594356+00:00
3989,"Babyfood, vegetables, spinach, creamed, strained",non_vegan,,2026-05-26T01:53:42.594538+00:00
3990,"Babyfood, vegetables, squash, junior",vegan,,2026-05-26T01:53:42.594711+00:00
3991,"Babyfood, vegetables, squash, strained",vegan,,2026-05-26T01:53:42.594872+00:00
3992,"Babyfood, vegetables, sweet potatoes strained",vegan,,2026-05-26T01:53:42.608668+00:00
3993,"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added iron fortified",non_vegan,,2026-05-26T01:53:42.608889+00:00
3994,"Bacon bits, meatless",vegan,,2026-05-26T01:53:42.609505+00:00
3995,"Bacon, pre-sliced, reduced/low sodium, unprepared",non_vegan,,2026-05-26T01:53:42.609716+00:00
3996,"Bacon, turkey, unprepared",non_vegan,,2026-05-26T01:53:42.609898+00:00
3997,"Bagels, egg",non_vegan,,2026-05-26T01:53:42.610041+00:00
3998,"Bagels, multigrain",ambiguous,,2026-05-26T01:53:42.610162+00:00
3999,"Bagels, oat bran",ambiguous,,2026-05-26T01:53:42.616350+00:00
4000,"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)",ambiguous,,2026-05-26T01:53:42.616609+00:00
4001,"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame), toasted",ambiguous,,2026-05-26T01:53:42.616741+00:00
4002,"Bagels, plain, enriched, without calcium propionate (includes onion, poppy, sesame)",ambiguous,,2026-05-26T01:53:42.616857+00:00
4003,"Bagels, plain, unenriched, with calcium propionate (includes onion, poppy, sesame)",ambiguous,,2026-05-26T01:53:42.616982+00:00
4004,"Bagels, plain, unenriched, without calcium propionate(includes onion, poppy, sesame)",ambiguous,,2026-05-26T01:53:42.617090+00:00
4005,"Bagels, wheat",ambiguous,,2026-05-26T01:53:42.617192+00:00
4006,"Bagels, whole grain white",ambiguous,,2026-05-26T01:53:42.617643+00:00
4007,"Baked beans, Original, canned, with pork",non_vegan,,2026-05-26T01:53:42.617780+00:00
4008,"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits",non_vegan,,2026-05-26T01:53:42.617895+00:00
4009,"Baking chocolate, MARS SNACKFOOD US, M&M's Semisweet Chocolate Mini Baking Bits",ambiguous,,2026-05-26T01:53:42.618030+00:00
4010,"Baking chocolate, unsweetened, liquid",vegan,,2026-05-26T01:53:42.618241+00:00
4011,"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt",vegan,,2026-05-26T01:53:42.619486+00:00
4012,"Balsam-pear (bitter gourd), leafy tips, raw",vegan,,2026-05-26T01:53:42.619627+00:00
4013,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, with salt",vegan,,2026-05-26T01:53:42.619753+00:00
4014,"Bamboo shoots, canned, drained solids",vegan,,2026-05-26T01:53:42.619854+00:00
4015,"Bamboo shoots, cooked, boiled, drained, without salt",vegan,,2026-05-26T01:53:42.619951+00:00
4016,"Bananas, dehydrated, or banana powder",vegan,,2026-05-26T01:53:42.620060+00:00
4017,"Bananas, overripe, raw",vegan,,2026-05-26T01:53:42.620160+00:00
4018,"Bananas, raw",vegan,,2026-05-26T01:53:42.620298+00:00
4019,"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",non_vegan,,2026-05-26T01:53:42.620420+00:00
4020,"Barbecue loaf, pork, beef",non_vegan,,2026-05-26T01:53:42.620535+00:00
4021,Barley flour or meal,vegan,,2026-05-26T01:53:42.620695+00:00
4022,Barley malt flour,vegan,,2026-05-26T01:53:42.620814+00:00
4023,"Barley, hulled",vegan,,2026-05-26T01:53:42.620916+00:00
4024,"Barley, pearled, cooked",vegan,,2026-05-26T01:53:42.621045+00:00
4025,"Barley, pearled, raw",vegan,,2026-05-26T01:53:42.621219+00:00
4026,"Beans, baked, canned, plain or vegetarian",vegan,,2026-05-26T01:53:42.621385+00:00
4027,"Beans, baked, canned, with franks",non_vegan,,2026-05-26T01:53:42.621504+00:00
4028,"Beans, baked, canned, with pork and sweet sauce",non_vegan,,2026-05-26T01:53:42.621839+00:00
4029,"Beans, black turtle, mature seeds, canned",vegan,,2026-05-26T01:53:42.622021+00:00
4030,"Beans, black turtle, mature seeds, cooked, boiled, without salt",vegan,,2026-05-26T01:53:42.622164+00:00
4031,"Beans, black turtle, mature seeds, raw",vegan,,2026-05-26T01:53:42.626386+00:00
4032,"Beans, black, canned, sodium added, drained and rinsed",vegan,,2026-05-26T01:53:42.626637+00:00
4033,"Beans, black, mature seeds, canned, low sodium",vegan,,2026-05-26T01:53:42.626798+00:00
4034,"Beans, black, mature seeds, cooked, boiled, without salt",vegan,,2026-05-26T01:53:42.626938+00:00
4035,"Beans, black, mature seeds, raw",vegan,,2026-05-26T01:53:42.627074+00:00
4036,"Beans, cannellini, canned, sodium added, drained and rinsed",vegan,,2026-05-26T01:53:42.627214+00:00
4037,"Beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0"" fat, choice, raw",non_vegan,,2026-05-26T01:53:44.964558+00:00
4038,"Beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",non_vegan,,2026-05-26T01:53:44.964881+00:00
4039,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",non_vegan,,2026-05-26T01:53:44.965053+00:00
4040,"Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",non_vegan,,2026-05-26T01:53:44.965229+00:00
4041,"Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw",non_vegan,,2026-05-26T01:53:44.965475+00:00
4042,"Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",non_vegan,,2026-05-26T01:53:44.965787+00:00
4043,"Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",non_vegan,,2026-05-26T01:53:44.965921+00:00
4044,"Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",non_vegan,,2026-05-26T01:53:44.966054+00:00
4045,"Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, select, raw",non_vegan,,2026-05-26T01:53:44.966171+00:00
4046,"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",non_vegan,,2026-05-26T01:53:44.967437+00:00
4047,"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw",non_vegan,,2026-05-26T01:53:44.967617+00:00
4048,"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled",non_vegan,,2026-05-26T01:53:44.967750+00:00
4049,"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",non_vegan,,2026-05-26T01:53:44.967865+00:00
4050,"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",non_vegan,,2026-05-26T01:53:44.967978+00:00
4051,"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, select, raw",non_vegan,,2026-05-26T01:53:44.968105+00:00
4052,"Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, all grades, raw",non_vegan,,2026-05-26T01:53:44.968222+00:00
4053,"Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",non_vegan,,2026-05-26T01:53:44.968428+00:00
4054,"Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, select, raw",non_vegan,,2026-05-26T01:53:44.968549+00:00
4055,"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",non_vegan,,2026-05-26T01:53:44.968770+00:00
4056,"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, raw",non_vegan,,2026-05-26T01:53:44.968891+00:00
4057,"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, select, cooked, grilled",non_vegan,,2026-05-26T01:53:44.969002+00:00
4058,"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, select, raw",non_vegan,,2026-05-26T01:53:44.969106+00:00
4059,"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",non_vegan,,2026-05-26T01:53:44.969214+00:00
4060,"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",non_vegan,,2026-05-26T01:53:44.969673+00:00
4061,"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",non_vegan,,2026-05-26T01:53:44.969795+00:00
4062,"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, raw",non_vegan,,2026-05-26T01:53:44.969906+00:00
4063,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, raw",non_vegan,,2026-05-26T01:53:44.970018+00:00
4064,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled",non_vegan,,2026-05-26T01:53:44.970170+00:00
4065,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select, raw",non_vegan,,2026-05-26T01:53:44.970324+00:00
4066,"Beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",non_vegan,,2026-05-26T01:53:44.970449+00:00
4067,"Beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, select, raw",non_vegan,,2026-05-26T01:53:44.970560+00:00
4068,"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",non_vegan,,2026-05-26T01:53:44.970671+00:00
4069,"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",non_vegan,,2026-05-26T01:53:44.970787+00:00
4070,"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, choice, raw",non_vegan,,2026-05-26T01:53:44.970912+00:00
4071,"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",non_vegan,,2026-05-26T01:53:44.971025+00:00
4072,"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, select, raw",non_vegan,,2026-05-26T01:53:44.971214+00:00
4073,"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, all grades, raw",non_vegan,,2026-05-26T01:53:44.971395+00:00
4074,"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled",non_vegan,,2026-05-26T01:53:44.971514+00:00
4075,"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, select, raw",non_vegan,,2026-05-26T01:53:44.971630+00:00
4076,"Beef, loin, top sirloin filet, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",non_vegan,,2026-05-26T01:53:44.971769+00:00
4077,"Beef, loin, top sirloin filet, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",non_vegan,,2026-05-26T01:53:44.971882+00:00
4078,"Beef, loin, top sirloin filet, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled",non_vegan,,2026-05-26T01:53:44.972008+00:00
4079,"Beef, loin, top sirloin petite roast, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",non_vegan,,2026-05-26T01:53:44.972123+00:00
4080,"Beef, loin, top sirloin petite roast, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",non_vegan,,2026-05-26T01:53:44.972248+00:00
4081,"Beef, loin, top sirloin petite roast, boneless, separable lean only, trimmed to 0"" fat, select, cooked, roasted",non_vegan,,2026-05-26T01:53:44.972600+00:00
4082,"Beef, loin, top sirloin petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",non_vegan,,2026-05-26T01:53:44.972733+00:00
4083,"Beef, loin, top sirloin petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, choice, raw",non_vegan,,2026-05-26T01:53:44.972848+00:00
4084,"Beef, loin, top sirloin petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, select, raw",non_vegan,,2026-05-26T01:53:44.972958+00:00
4085,"Beef, New Zealand, imported, bolar blade, separable lean and fat, cooked, fast roasted",non_vegan,,2026-05-26T01:53:44.973091+00:00
4086,"Beef, New Zealand, imported, bolar blade, separable lean and fat, raw",non_vegan,,2026-05-26T01:53:44.973215+00:00
4087,"Beef, New Zealand, imported, tenderloin, separable lean and fat, raw",non_vegan,,2026-05-26T01:53:54.825905+00:00
4088,"Beef, New Zealand, imported, tenderloin, separable lean only, cooked, fast fried",non_vegan,,2026-05-26T01:53:54.833432+00:00
4089,"Beef, New Zealand, imported, tenderloin, separable lean only, raw",non_vegan,,2026-05-26T01:53:54.833640+00:00
4090,"Beef, New Zealand, imported, variety meats and by-products liver, cooked, boiled",non_vegan,,2026-05-26T01:53:54.833778+00:00
4091,"Beef, New Zealand, imported, variety meats and by-products, heart, cooked, boiled",non_vegan,,2026-05-26T01:53:54.833894+00:00
4092,"Beef, New Zealand, imported, variety meats and by-products, heart, raw",non_vegan,,2026-05-26T01:53:54.833999+00:00
4093,"Beef, New Zealand, imported, variety meats and by-products, kidney, cooked, boiled",non_vegan,,2026-05-26T01:53:54.834113+00:00
4094,"Beef, New Zealand, imported, variety meats and by-products, kidney, raw",non_vegan,,2026-05-26T01:53:54.834229+00:00
4095,"Beef, New Zealand, imported, variety meats and by-products, tripe uncooked, raw",non_vegan,,2026-05-26T01:53:54.834376+00:00
4096,"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",non_vegan,,2026-05-26T01:53:54.834480+00:00
4097,"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, all grades, raw",non_vegan,,2026-05-26T01:53:54.834589+00:00
4098,"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",non_vegan,,2026-05-26T01:53:54.834699+00:00
4099,"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, choice, raw",non_vegan,,2026-05-26T01:53:54.834798+00:00
4100,"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",non_vegan,,2026-05-26T01:53:54.834899+00:00
4101,"Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",non_vegan,,2026-05-26T01:53:54.835001+00:00
4102,"Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, choice, raw",non_vegan,,2026-05-26T01:53:54.835100+00:00
4103,"Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, select, raw",non_vegan,,2026-05-26T01:53:54.835235+00:00
4104,"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",non_vegan,,2026-05-26T01:53:54.835387+00:00
4105,"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",non_vegan,,2026-05-26T01:53:54.835492+00:00
4106,"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, choice, raw",non_vegan,,2026-05-26T01:53:54.835592+00:00
4107,"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",non_vegan,,2026-05-26T01:53:54.835715+00:00
4108,"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, select, raw",non_vegan,,2026-05-26T01:53:54.835820+00:00
4109,"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, all grades, raw",non_vegan,,2026-05-26T01:53:54.836641+00:00
4110,"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",non_vegan,,2026-05-26T01:53:54.836776+00:00
4111,"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, choice, raw",non_vegan,,2026-05-26T01:53:54.836859+00:00
4112,"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, select, cooked, grilled",non_vegan,,2026-05-26T01:53:54.836930+00:00
4113,"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, select, raw",non_vegan,,2026-05-26T01:53:54.836995+00:00
4114,"Beef, plate, inside skirt steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",non_vegan,,2026-05-26T01:53:54.837061+00:00
4115,"Beef, plate, inside skirt steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",non_vegan,,2026-05-26T01:53:54.837125+00:00
4116,"Beef, plate, outside skirt steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",non_vegan,,2026-05-26T01:53:54.837594+00:00
4117,"Beef, plate, outside skirt steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",non_vegan,,2026-05-26T01:53:54.837755+00:00
4118,"Beef, retail cuts, separable fat, cooked",non_vegan,,2026-05-26T01:53:54.837829+00:00
4119,"Beef, retail cuts, separable fat, raw",non_vegan,,2026-05-26T01:53:54.837899+00:00
4120,"Beef, rib eye roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",non_vegan,,2026-05-26T01:53:54.838019+00:00
4121,"Beef, rib eye roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",non_vegan,,2026-05-26T01:53:54.838344+00:00
4122,"Beef, rib eye roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",non_vegan,,2026-05-26T01:53:54.838438+00:00
4123,"Beef, rib eye roast, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, roasted",non_vegan,,2026-05-26T01:53:54.838517+00:00
4124,"Beef, rib eye roast, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked, roasted",non_vegan,,2026-05-26T01:53:54.838588+00:00
4125,"Beef, rib eye roast, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, select, cooked, roasted",non_vegan,,2026-05-26T01:53:54.838825+00:00
4126,"Beef, rib eye roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",non_vegan,,2026-05-26T01:53:54.839231+00:00
4127,"Beef, rib eye roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",non_vegan,,2026-05-26T01:53:54.839384+00:00
4128,"Beef, rib eye roast, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked, roasted",non_vegan,,2026-05-26T01:53:54.839455+00:00
4129,"Beef, rib eye steak, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled",non_vegan,,2026-05-26T01:53:54.839556+00:00
4130,"Beef, rib eye steak, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",non_vegan,,2026-05-26T01:53:54.839620+00:00
4131,"Beef, rib eye roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",non_vegan,,2026-05-26T01:53:54.839719+00:00
4132,"Beef, rib eye roast, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, roasted",non_vegan,,2026-05-26T01:53:54.839786+00:00
4133,"Beef, rib eye roast, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select, cooked, roasted",non_vegan,,2026-05-26T01:53:54.839858+00:00
4134,"Beef, rib eye steak, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",non_vegan,,2026-05-26T01:53:54.839974+00:00
4135,"Beef, rib eye steak, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",non_vegan,,2026-05-26T01:53:54.840094+00:00
4136,"Beef, rib eye steak, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",non_vegan,,2026-05-26T01:53:54.840229+00:00
4137,"Beef, New Zealand, imported, bolar blade, separable lean only, cooked, fast roasted",non_vegan,,2026-05-26T01:53:55.546177+00:00
4138,"Beef, New Zealand, imported, bolar blade, separable lean only, raw",non_vegan,,2026-05-26T01:53:55.546526+00:00
4139,"Beef, New Zealand, imported, brisket navel end, separable lean and fat, cooked, braised",non_vegan,,2026-05-26T01:53:55.546737+00:00
4140,"Beef, New Zealand, imported, brisket navel end, separable lean and fat, raw",non_vegan,,2026-05-26T01:53:55.546944+00:00
4141,"Beef, New Zealand, imported, brisket navel end, separable lean only, cooked, braised",non_vegan,,2026-05-26T01:53:55.547084+00:00
4142,"Beef, New Zealand, imported, brisket navel end, separable lean only, raw",non_vegan,,2026-05-26T01:53:55.547246+00:00
4143,"Beef, New Zealand, imported, brisket point end, separable lean and fat, cooked, braised",non_vegan,,2026-05-26T01:53:55.547453+00:00
4144,"Beef, New Zealand, imported, brisket point end, separable lean and fat, raw",non_vegan,,2026-05-26T01:53:55.547563+00:00
4145,"Beef, New Zealand, imported, brisket point end, separable lean only, cooked, braised",non_vegan,,2026-05-26T01:53:55.547670+00:00
4146,"Beef, New Zealand, imported, brisket point end, separable lean only, raw",non_vegan,,2026-05-26T01:53:55.547795+00:00
4147,"Beef, New Zealand, imported, chuck eye roll, separable lean and fat, cooked, braised",non_vegan,,2026-05-26T01:53:55.547930+00:00
4148,"Beef, New Zealand, imported, chuck eye roll, separable lean and fat, raw",non_vegan,,2026-05-26T01:53:55.548080+00:00
4149,"Beef, New Zealand, imported, chuck eye roll, separable lean only, raw",non_vegan,,2026-05-26T01:53:55.548230+00:00
4150,"Beef, New Zealand, imported, cube roll, separable lean and fat, raw",non_vegan,,2026-05-26T01:53:55.548417+00:00
4151,"Beef, New Zealand, imported, cube roll, separable lean only, cooked, fast roasted",non_vegan,,2026-05-26T01:53:55.548571+00:00
4152,"Beef, New Zealand, imported, cube roll, separable lean only, raw",non_vegan,,2026-05-26T01:53:55.548747+00:00
4153,"Beef, New Zealand, imported, eye round, separable lean and fat, cooked, slow roasted",non_vegan,,2026-05-26T01:53:55.548900+00:00
4154,"Beef, New Zealand, imported, eye round, separable lean and fat, raw",non_vegan,,2026-05-26T01:53:55.549098+00:00
4155,"Beef, New Zealand, imported, eye round, separable lean only, cooked, slow roasted",non_vegan,,2026-05-26T01:53:55.549244+00:00
4156,"Beef, New Zealand, imported, eye round, separable lean only, raw",non_vegan,,2026-05-26T01:53:55.549418+00:00
4157,"Beef, New Zealand, imported, flank, separable lean and fat, cooked, braised",non_vegan,,2026-05-26T01:53:55.549593+00:00
4158,"Beef, New Zealand, imported, flank, separable lean and fat, raw",non_vegan,,2026-05-26T01:53:55.549737+00:00
4159,"Beef, New Zealand, imported, flank, separable lean only, cooked, braised",non_vegan,,2026-05-26T01:53:55.549899+00:00
4160,"Beef, New Zealand, imported, flank, separable lean only, raw",non_vegan,,2026-05-26T01:53:55.550060+00:00
4161,"Beef, New Zealand, imported, flat, separable lean and fat, cooked, braised",non_vegan,,2026-05-26T01:53:55.550220+00:00
4162,"Beef, New Zealand, imported, flat, separable lean only, cooked, braised",non_vegan,,2026-05-26T01:53:55.550439+00:00
4163,"Beef, New Zealand, imported, flat, separable lean only, raw",non_vegan,,2026-05-26T01:53:55.550610+00:00
4164,"Beef, New Zealand, imported, hind shin, separable lean and fat, raw",non_vegan,,2026-05-26T01:53:55.550775+00:00
4165,"Beef, New Zealand, imported, inside, raw",non_vegan,,2026-05-26T01:53:55.550936+00:00
4166,"Beef, New Zealand, imported, intermuscular fat, cooked",non_vegan,,2026-05-26T01:53:55.551081+00:00
4167,"Beef, New Zealand, imported, manufacturing beef, cooked, boiled",non_vegan,,2026-05-26T01:53:55.551232+00:00
4168,"Beef, New Zealand, imported, manufacturing beef, raw",non_vegan,,2026-05-26T01:53:55.551596+00:00
4169,"Beef, New Zealand, imported, oyster blade, separable lean and fat, raw",non_vegan,,2026-05-26T01:53:55.551737+00:00
4170,"Beef, New Zealand, imported, oyster blade, separable lean only, cooked, braised",non_vegan,,2026-05-26T01:53:55.551888+00:00
4171,"Beef, New Zealand, imported, ribs prepared, cooked, fast roasted",non_vegan,,2026-05-26T01:53:55.552052+00:00
4172,"Beef, New Zealand, imported, ribs prepared, raw",non_vegan,,2026-05-26T01:53:55.552215+00:00
4173,"Beef, New Zealand, imported, rump centre, separable lean and fat, cooked, fast fried",non_vegan,,2026-05-26T01:53:55.552406+00:00
4174,"Beef, New Zealand, imported, knuckle, cooked, fast fried",non_vegan,,2026-05-26T01:53:55.552645+00:00
4175,"Beef, New Zealand, imported, oyster blade, separable lean and fat, cooked, braised",non_vegan,,2026-05-26T01:53:55.552764+00:00
4176,"Beef, New Zealand, imported, oyster blade, separable lean only, raw",non_vegan,,2026-05-26T01:53:55.552865+00:00
4177,"Beef, New Zealand, imported, rump centre, separable lean and fat, raw",non_vegan,,2026-05-26T01:53:55.553016+00:00
4178,"Beef, New Zealand, imported, rump centre, separable lean only, cooked, fast fried",non_vegan,,2026-05-26T01:53:55.553119+00:00
4179,"Beef, New Zealand, imported, striploin, separable lean and fat, cooked, fast fried",non_vegan,,2026-05-26T01:53:55.553231+00:00
4180,"Beef, New Zealand, imported, striploin, separable lean and fat, raw",non_vegan,,2026-05-26T01:53:55.553372+00:00
4181,"Beef, New Zealand, imported, striploin, separable lean only, raw",non_vegan,,2026-05-26T01:53:55.553493+00:00
4182,"Beef, New Zealand, imported, subcutaneous fat, cooked",non_vegan,,2026-05-26T01:53:55.553599+00:00
4183,"Beef, New Zealand, imported, subcutaneous fat, raw",non_vegan,,2026-05-26T01:53:55.553728+00:00
4184,"Beef, New Zealand, imported, sweetbread, cooked, boiled",non_vegan,,2026-05-26T01:53:55.553865+00:00
4185,"Beef, New Zealand, imported, sweetbread, raw",non_vegan,,2026-05-26T01:53:55.553988+00:00
4186,"Beef, New Zealand, imported, tenderloin, separable lean and fat, cooked, fast fried",non_vegan,,2026-05-26T01:53:55.554148+00:00
4187,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, prime, raw",non_vegan,,2026-05-26T01:53:58.836065+00:00
4188,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, select, raw",non_vegan,,2026-05-26T01:53:58.854887+00:00
4189,"Beef, rib, large end (ribs 6-9), separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",non_vegan,,2026-05-26T01:53:58.855066+00:00
4190,"Beef, rib, large end (ribs 6-9), separable lean only, trimmed to 0"" fat, choice, cooked, roasted",non_vegan,,2026-05-26T01:53:58.855181+00:00
4191,"Beef, rib, shortribs, separable lean and fat, choice, cooked, braised",non_vegan,,2026-05-26T01:53:58.855319+00:00
4192,"Beef, rib, shortribs, separable lean only, choice, cooked, braised",non_vegan,,2026-05-26T01:53:58.855432+00:00
4193,"Beef, rib, shortribs, separable lean only, choice, raw",non_vegan,,2026-05-26T01:53:58.855530+00:00
4194,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",non_vegan,,2026-05-26T01:53:58.855635+00:00
4195,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, choice, cooked, broiled",non_vegan,,2026-05-26T01:53:58.855734+00:00
4196,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, select, cooked, broiled",non_vegan,,2026-05-26T01:53:58.855852+00:00
